For all members,,,,,,,,,,,,,For industry members only,,,,,,,,,,,,
Name (ZH),Name (EN MT),Common name (EN),Common name (ZH),Tier (ZH),Tier (EN),Original order within tier,Type,Website,Crunchbase URL,"Location (City, Province)",Location (City-level),Location (Provincial Level),Estimated Size,Estimated Focus,Industry Affiliations,AI Product/Service Category,Key products,State-owned?,Not Chinese,Public company,Exchange,Ticker,Notes,,Extracted 3/26/20 from http://aiiaorg.cn/index.php?m=alliance&c=index&a=structure
天津爱波瑞科技发展有限公司,"Tianjin Aibo Rui Technology Development Co., Ltd.",A. BRAIN,爱波瑞,普通会员单位,ordinary members,114,Industry,http://www.abrain.com.cn/,n/a,Tianjin,Tianjin,Tianjin,Small/startup,Diversified,Science and Technology application service,n/a,Smart manufaturing solutions,No,No,No,,,,,
亚杰天使投资管理（北京）有限公司,"Yajie Angel Investment Management (Beijing) Co., Ltd.",AAMA,亚杰天使投资,理事单位,board members,122,Industry,n/a,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Asset Management,n/a,Investment,No,No,No,,,https://m.pedaily.cn/data/vc/15552,,
成都国星宇航科技有限公司,"Chengdu Guoxing Aerospace Technology Co., Ltd.",ADASPACE,国星宇航,普通会员单位,ordinary members,340,Industry,https://www.adaspace.com/,n/a,"Chengdu, Sichuan",Chengdu,Sichuan,Medium,Diversified,"Software, Information Technology",n/a,Aerospace,No,No,No,,,,,
北京研华兴业电子科技科技有限公司,"Beijing Advantech Xingye Electronic Technology Co., Ltd.",Advantech,研华,普通会员单位,ordinary members,92,Industry,https://www.advantech.com.cn/,https://www.crunchbase.com/organization/advantech,Beijing,Beijing,Beijing,Big,Diversified,"Hardware, Industrial Automation, Mobile, Public Relations",n/a,Embedded and automation products,No,Yes,Yes,TPE,2395,,,
北京超验极客教育科技有限公司,"Beijing Super Test Geek Education Technology Co., Ltd.",Aerospace Maker,航天创客,普通会员单位,ordinary members,251,Industry,http://www.aerospacemaker.net/,https://www.crunchbase.com/organization/aerospace-maker-technology,Beijing,Beijing,Beijing,Small/startup,Diversified,"E-Learning, EBooks, Education",n/a,Aerospace education,No,No,No,,,,,
北京中经智元科技发展有限公司,"Beijing Zhongjing Zhiyuan Technology Development Co., Ltd.",AI Era,新智元,理事单位,board members,121,Industry,http://www.aiera.com.cn/about/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Consulting, Technology Services, Media",Other,AI news,No,No,No,,,,,
北京大艾机器人科技有限公司,"Beijing Daai Robot Technology Co., Ltd.",Ai-Robotics,大艾,理事单位,board members,96,Industry,https://www.ai-robotics.cn/about,https://www.crunchbase.com/organization/ai-robotics#section-overview,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Hardware, Industrial Robotics",Service Robots,Medical robots,No,No,No,,,,,
北京希尔贝壳科技有限公司,"Beijing Hill Shell Technology Co., Ltd.",AIShell,希尔贝壳,普通会员单位,ordinary members,301,Industry,http://www.aishelltech.com/,n/a,Beijing ,Beijing,Beijing,Medium,Focused on AI,"Big data, technical services",Data Storage and Processing,"Data processing for vehicle, robot and other voice intelligent products",No,No,No,,,,,
航天信息股份有限公司,"Aerospace Information Co., Ltd.",Aisino,航天信息,理事单位,board members,127,Industry,http://www.aisino.com/,https://www.crunchbase.com/organization/aisino,Beijing,Beijing,Beijing,Medium,Diversified,Information Technology,n/a,Information security,Yes,No,Yes,SSE,600271,,,
苏州工业园区人工智能产业协会,Suzhou Industrial Park Artificial Intelligence Industry Association,AISIP,苏智协,理事单位,board members,14,Government,http://www.aisip.cn/p/profile/,n/a,"Suzhou, Jiangsu",Suzhou,Jiangsu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
苏州思必驰信息科技有限公司,"Suzhou Sibichi Information Technology Co., Ltd.",AISpeech,思必驰,副理事长单位,vice chairs of the board,24,Industry,http://www.aispeech.com/,https://www.crunchbase.com/organization/aispeech,"Suzhou, Jiangsu",Suzhou,Jiangsu,Small/startup,Focused on AI,"Speech Recognition, Analytics, computer, enterprise software",Voice Recognition and Natural Language Processing,"Speech recognition, tone analysis",No,No,No,,,,,
北京深知无限人工智能研究院有限公司,"Beijing Shenzhi Infinite Artificial Intelligence Research Institute Co., Ltd.",AITC,深知无限人工智能,理事单位,board members,158,Industry,http://aitc.ai/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Big Data, Cloud Computing, Technology Services",Business Solutions,"Intelligent data and knowledge service, network physical system, incubator for startups",No,No,No,,," A Sino-German JV. It was founded by Professor Hans Uszkoreit and his team, academician of the European Academy of Sciences, co-founder and scientific director of the German Centre for Artificial Intelligence (DFKI) and the official representative office of the German Centre for Artificial Intelligence (DFKI) in China.",,
新疆爱华盈通信息技术有限公司,"Xinjiang Aihua Yingtong Information Technology Co., Ltd.",AIWinn,爱华盈通,普通会员单位,ordinary members,309,Industry,http://www.aiwinn.com/,https://www.crunchbase.com/organization/aiwinn,"Ürümqi, Xinjiang",Ürümqi,Xinjiang,Small/startup,Focused on AI,Artificial Intelligence,AIoT,AIoT solutons,No,No,No,,,https://www.chinamoneynetwork.com/2020/01/10/chinese-aiot-startup-aiwinn-secures-series-a-round,,
阿里巴巴（中国）有限公司,"Alibaba (China) Co., Ltd.",Alibaba,阿里巴巴,副理事长单位,vice chairs of the board,4,Industry,https://www.alibabagroup.com/en/global/home?spm=a2,https://www.crunchbase.com/organization/alibaba,"Hangzhou, Zhejiang",Hangzhou,Zhejiang,Big,Diversified,"Association, B2B, E-Commerce, Information Technology, Infrastructure, Internet Shopping",n/a,"Core commerce, cloud computing, digital media and entertainment, and innovation initiatives",No,No,Yes,HK,9988,,,
亚马逊通技术服务（北京）有限公司,"Amazon Connect Technology Services (Beijing) Co., Ltd.",Amazon Web Services (AWS),亚马逊AWS,理事单位,board members,44,Industry,https://aws.amazon.com/cn/?nc1=h_ls,https://www.crunchbase.com/organization/amazon-web-services,Beijing,Beijing,Beijing,Big,Diversified,"Information Services, Information Technology, Software, Web Development",n/a,Information technology infrastructure services,No,Yes,Yes,NASDAQ,AMZN,,,
江苏满运软件科技有限公司,"Jiangsu Manyun Software Technology Co., Ltd.",AMH Group,运满满,理事单位,board members,38,Industry,https://www.ymm56.com/about.html,https://www.crunchbase.com/organization/yunmanman,"Nanjing, Jiangsu",Nanjing,Jiangsu,Medium,Diversified,"Internet, Logistics, Software, Transportation",n/a,Logistics,No,No,No,,,,,
四川中电启明星信息技术有限公司,"Sichuan CLP Kaixing Information Technology Co., Ltd.",Aostar Information Technologies,中电启明星,普通会员单位,ordinary members,42,Industry,http://www.sgitg.sgcc.com.cn/html/xcjt/col2020031378/2020-06/11/20200611143132806780473_1.html,n/a,"Chengdu, Sichuan",Chengdu,Sichuan,Medium,Diversified,"Sotware, Cloud services",n/a,"Cloud platform components, enterprise portals and identity security, energy trading",Yes,No,No,,,,,
安谋电子科技（上海）有限公司,"Anmou Electronic Technology (Shanghai) Co., Ltd.",ARM,n/a,理事单位,board members,4,Industry,https://www.arm.com/,https://www.crunchbase.com/organization/arm#section-overview,Shanghai,Shanghai,Shanghai,Big,Diversified,"Electronics, Internet of Things, Semiconductor",n/a,Semiconductor IP,No,Yes,No,,,,,
苏州市大数据产业联盟,Suzhou Big Data Industry Alliance,Artificial Intelligence and Big Data Industrial Alliance of Suzhou (AIBDIAS),苏州市大数据产业联盟,理事单位,board members,15,Government,http://www.szbigdata.org/index.php/Home/Mb/js,n/a,"Suzhou, Jiangsu",Suzhou,Jiangsu,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,Affliated with Suzhou Municipal Development and Reform Commission,,
亚信科技（中国）有限公司,"AsiaInfo Technology (China) Co., Ltd.",AsianInfo,亚信科技,普通会员单位,ordinary members,312,Industry,https://www.asiainfo.com/zh_cn/index.html,https://www.crunchbase.com/organization/asiainfo,Beijing,Beijing,Beijing,Big,Diversified,"Information Technology, Software, Telecommunications",n/a,"Software, Telecommunications",No,No,Yes,HKG,1675,,,
上海慧能商务咨询有限公司,"Shanghai Huineng Business Consulting Co., Ltd.",ATMATRIX,,普通会员单位,ordinary members,213,Industry,https://www.atmatrix.org/,https://www.crunchbase.com/organization/atmatrix,Shanghai,Shanghai,Shanghai,Small/startup,Focused on AI,"Artificial Intelligence, Blockchain",Business Solutions,"Blockchain, marketplace AI solutions",No,No,No,,,https://www.pr.com/press-release/743488,,
北京百度网讯科技有限公司,"Beijing Baidu Netcom Technology Co., Ltd.",Baidu,百度,副理事长单位,vice chairs of the board,15,Industry,baidu.com,https://www.crunchbase.com/organization/baidu,Beijing,Beijing,Beijing,Big,Diversified,"Internet, Search Engine, Social Network",n/a,"Internet, Search Engine, Social Network",No,No,Yes,NASDAQ,BIDU,,,
北京百分点信息科技有限公司,"Beijing Percent Information Technology Co., Ltd.",Baifendian,百分点,普通会员单位,ordinary members,26,Industry,https://percent.cn/,https://www.crunchbase.com/organization/baifendian,Beijing,Beijing,Beijing,Medium,Focused on AI,"Consumer, Database, E-Commerce, Enterprise Software",Data Storage and Processing,Recommendation engine and consumer preference database,No,No,No,,,,,
北京市百瑞律师事务所,Beijing Barry Law Firm,Bairui Law Firm,百瑞律师事务所,普通会员单位,ordinary members,203,Industry,http://www.brlf.com.cn/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Legal services,n/a,Legal services,No,No,No,,,,,
北京洋浦伟业科技发展有限公司,"Beijing Yangpu Weiye Technology Development Co., Ltd.",Bangcle Security,梆梆安全,普通会员单位,ordinary members,6,Industry,https://www.bangcle.com/,https://www.crunchbase.com/organization/bangbang-security,Beijing,Beijing,Beijing,Small/startup,Diversified,"Cyber Security, Mobile Apps, Network Security",n/a,Mobile applictions and IoT security solutions and services,No,No,No,,,,,
北京贝叶斯科技有限公司,"Beijing Bayes Technology Co., Ltd.",Bayes,贝叶斯,理事单位,board members,27,Industry,https://www.bjbayes.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Healthcare, Artificial Intelligence",Business Solutions,AI in Chinese medicine,No,No,No,,, ,,
首都医科大学附属北京友谊医院,Beijing Friendship Hospital Affiliated to Capital Medical University,"Beijing Friendship Hospital, Capital Medical University",北京友谊医院,理事单位,board members,55,Academia,http://www.bfh.com.cn/,n/a,Beijing,Beijing,Beijing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
北京远程视界机器人科技有限公司,"Beijing Remote Vision Robotics Technology Co., Ltd.",Beijing Remote Vision Robotics Technology,北京远程视界机器人科技有限公司,理事单位,board members,148,Industry,n/a,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Science and Technology Services,n/a,"Technology services, consulting",No,No,No,,,https://webcache.googleusercontent.com/search?q=cache:fDDukeXMcbsJ:https://www.tianyancha.com/company/2398919015+&cd=1&hl=en&ct=clnk&gl=us,,
北京电信规划设计院有限公司,"Beijing Telecom Planning and Design Institute Co., Ltd.","Beijing Telecom Planning&Designing Institute Co.,Ltd.",北京电信规划设计院有限公司,理事单位,board members,155,Industry,http://www.btpdi.com.cn/,n/a,Beijing,"Beijing First-Class Technology Co., Ltd.",Beijing,Medium,Diversified,"Consulting, Telecommuncations",n/a,"Telecom network overall planning, telecom engineering survey, design, consulting",No,No,No,,,https://webcache.googleusercontent.com/search?q=cache:EAWdb8G88jsJ:https://www.tianyancha.com/company/17220221+&cd=6&hl=en&ct=clnk&gl=us,,
北京邮电大学,Beijing University of Posts and Telecommunications,Beijing University of Posts and Telecommunications,,理事单位,board members,105,Academia,https://www.bupt.edu.cn/,https://www.crunchbase.com/organization/beijing-university-of-posts-and-telecommunications,Beijing,Beijing,Beijing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
北京理工大学,Beijing Institute of Technology,BeijingInstitute of Technology,北京理工大学,理事单位,board members,138,Academia,http://www.bit.edu.cn/,https://www.crunchbase.com/organization/beijing-institute-of-technology,Beijing,Beijing,Beijing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
北京启动优势科技有限公司,"Beijing Start Advantage Technology Co., Ltd.","BeijingStart Advantage Technology Co., Ltd.",旅信通,普通会员单位,ordinary members,40,Industry,http://www.lvxt.com.cn/,n/a,Beijing,Beijing,Beijing ,Small/startup,Diversified,Technological services,n/a,Tourism,No,No,No,,,Changed its name to 北京旅信通科技有限公司,,
北京拓尔思信息技术股份有限公司,"Beijing Tops Information Technology Co., Ltd.",BeijingTRS Information Technology,拓尔思,普通会员单位,ordinary members,189,Industry,http://www.trs.com.cn/,https://www.crunchbase.com/organization/beijing-trs-information-technology-co-ltd ,Beijing,Beijing,Beijing,Small/startup,Diversified,Search Engine,n/a,Semantic intelligence,No,No,Yes,SZSE,300229,,,
北京无限讯奇信息技术有限公司,"Beijing Unlimited Information Technology Co., Ltd.","BeijingUmessage Co.,Ltd.",无限讯奇,理事单位,board members,124,Industry,n/a,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Telecommunications,n/a,Telecommunications,No,No,No,,,https://ep.pedata.cn/249753213.html,,
成都宽邦科技有限公司,"Chengdu Kuanbang Technology Co., Ltd.",Big Quant,宽邦科技,普通会员单位,ordinary members,307,Industry,https://bigquant.com/,n/a,"Chengdu, Sichuan",Chengdu,Sichuan,Small/startup,Focused on AI,Technology service,Business Solutions,"Enterprise-level AI platform, investment services",No,No,No,,,"""(Democratize AI to empower business and people)"" /Found in the About page",,
中科博宏（北京）科技有限公司,"Zhongke Bohong (Beijing) Technology Co., Ltd.",BIOMHOPE,中科博宏,普通会员单位,ordinary members,249,Industry,http://www.biomhope.com/#/index,https://www.crunchbase.com/organization/biomhope,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Artificial Intelligence, Facial Recognition, Speech Recognition",Facial Recognition,Facial and speech recogition technoogy,No,No,No,,,,,
北京比特大陆科技有限公司,"Beijing Bit Continental Technology Co., Ltd.",Bitmain,航天大道,普通会员单位,ordinary members,214,Industry,https://www.bitmain.com/,https://www.crunchbase.com/organization/bitmain,Beijing,Beijing,Beijing,Small/startup,Focused on AI,"Application Specific Integrated Circuit (ASIC), Bitcoin Electronics, Manufacturing, Semiconductor",AI Chips,AI chips,No,No,No,,,,,
上海百联商业互联网有限公司,"Shanghai Bailian Commercial Internet Co., Ltd.",bl.com,百联,普通会员单位,ordinary members,192,Industry,https://help.bl.com/articleDetailed.html?articleId=285&&categoryType=about,n/a,Shanghai,Shanghai,Shanghai,Medium,Diversified,Online retail,n/a,Online retailing,Yes,No,No,,,Susidiary of Bailian Group (SSE 600827),,
上海宽带技术及应用工程研究中心,Shanghai Broadband Technology and Application Engineering Research Center,BNC,上海宽带技术及应用工程研究中心,理事单位,board members,34,Academia,http://www.bnc.org.cn/,n/a,Shanghai,Shanghai,Shanghai,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
亿阳信通股份有限公司,"Yiyang Xintong Co., Ltd.",BOCO Inter-Telecom,亿阳信通,普通会员单位,ordinary members,9,Industry,http://www.boco.com.cn:8080/bocoit/index.asp,n/a,"Harbin, Heilongjiang",Harbin,Heilongjiang,Medium,Diversified,"Information Technology, Communication",n/a,Information and Communications Technology,No,No,Yes,SSE,600289,,,
广州佰聆数据股份有限公司,"Guangzhou Bailing Data Co., Ltd.",Brilliant,佰聆数据,普通会员单位,ordinary members,75,Industry,http://www.brilliant-solution.com/zh-CN/index.php,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Small/startup,Diversified,"Big Data, Analytics",n/a,Big data analytics,No,No,No,,,,,
深圳市芊熠智能硬件有限公司,"Shenzhen Yeyi Intelligent Hardware Co., Ltd.",Brilliants,芊熠智能,普通会员单位,ordinary members,277,Industry,http://www.brilliants.com.cn/,n/a,Shenzhen,Shenzhen,Shenzhen,Small/startup,Focused on AI,Facial recognition,Facial Recognition,Facial recognition and vehicle identification,No,No,No,,,,,
武汉佰思杰科技有限公司,"Wuhan Baisijie Technology Co., Ltd.",BSG,佰思杰,普通会员单位,ordinary members,54,Industry,http://www.bestmes.cn/,n/a,"Wuhan, Hubei",Wuhan,Hubei,Small/startup,Diversified,Smart manufaturing,n/a,Smart manufaturing,No,No,No,,,,,
南京璇玑信息技术有限公司,"Nanjing Xuanyu Information Technology Co., Ltd.",Bugzero,无缺,普通会员单位,ordinary members,256,Industry,http://www.bugzero.cn/index,n/a,"Nanjing, Jiangsu",Nanjing,Jiangsu,Small/startup,Diversified,"Software, Information and technology",n/a,Cloud testing,No,No,No,,,,,
深圳积木易搭科技技术有限公司,"Shenzhen Building Blocks Easy Technology Co., Ltd.",Building Blocks Easy,积木易搭,普通会员单位,ordinary members,218,Industry,https://www.jimuyida.com/,n/a,Shenzhen,Shenzhen,Shenzhen,Small/startup,Diversified,"Research and experimental development, 3D",n/a,3D,No,No,No,,,,,
北京金誉在线伙伴文化传播有限公司,"Beijing Jinyu Online Partner Cultural Communication Co., Ltd.",Business Partner,金誉在线,普通会员单位,ordinary members,205,Industry,http://www.cnbp.net/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Consulting services,n/a,Consulting services,No,No,No,,,,,
浙江百应科技有限公司,"Zhejiang Baiying Technology Co., Ltd.",byai,百应科技,普通会员单位,ordinary members,333,Industry,https://www.byai.com/,n/a,"Hangzhou, Zhejiang",Hangzhou,Zhejiang,Medium,Focused on AI,"Data, Cloud storage",Business Solutions,"Cloud platform, intelligent services for marketing and customer service",No,No,No,,,,,
北京字节跳动科技有限公司,"Beijing BYTE Beat Technology Co., Ltd.",ByteDance,字节跳动,理事单位,board members,18,Industry,https://www.bytedance.com/en,https://www.crunchbase.com/organization/bytedance,Beijing,Beijing,Beijing,Big,Diversified,"Artificial Intelligence, Content, Data Mining, Internet, Machine Learning",n/a,"Internet technology, creative content",No,No,No,,,Appears later in the list as a 普通会员单位 (ordinary member),,
北京字节跳动科技有限公司,"Beijing BYTE Beat Technology Co., Ltd.",ByteDance ,字节跳动,普通会员单位,ordinary members,123,Industry,https://www.bytedance.com/en,https://www.crunchbase.com/organization/bytedance,Beijing,Beijing,Beijing,Big,Diversified,"Machine learning, datamining, internet, content",n/a,"Internet technology, creative content",No,No,No,,,Appears earlier in the list as a 理事单位 (board member),,
北京中科寒武纪科技有限公司,"Beijing Zhongke Cambrian Technology Co., Ltd.",Cambricon,寒武纪,普通会员单位,ordinary members,279,Industry,cambricon.com,https://www.crunchbase.com/organization/cambricon-technologies,Beijing,Beijing,Beijing,Medium,Focused on AI,"Artificial Intelligence, Electronics,Semiconductor",AI Chips,AI chips,No,No,No,n/a,n/a,,,
北京嘉楠捷思信息技术有限公司,"Beijing Jianan Jiesi Information Technology Co., Ltd.",Canaan Creative,嘉楠,普通会员单位,ordinary members,2,Industry,https://www.canaan.io/,https://www.crunchbase.com/organization/canaan-creative#section-overview,Beijing,Beijing,Beijing,Medium,Focused on AI,"Bitcoins, Electronics, Manufacturing",AI Chips,AI chips R&D and bitcions,No,No,Yes,NASDAQ,CAN,,,
中国科学院自动化研究所,"Institute of Automation, Chinese Academy of Sciences",CASIA,中国科学院自动化研究所,副理事长单位,vice chairs of the board,19,Government,http://www.ia.cas.cn/,https://www.crunchbase.com/organization/institute-of-automation-chinese-academy-of-sciences,Beijing,Beijing,Beijing,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,
中国航天科工集团公司,China Aerospace Science and Industry Corporation,CASIC,中国航天科工集团,副理事长单位,vice chairs of the board,7,Industry,http://www.casic.com.cn/,n/a,Beijing,Beijing,Beijing,Big,Diversified,"Asset Management, Financial services",n/a,"aerospace, communications, satellite",Yes,No,No,,,,,
北京中科奥创科技有限公司,"Beijing Zhongke Aochuang Technology Co., Ltd.",Casultron ,中科奥创,普通会员单位,ordinary members,117,Industry,http://www.casultron.com/,n/a,Beijing,Beijing,Beijing,Small/startup,Diversified,Science and Technology application service,n/a,Intelligent prediction systems,No,No,No,,,,,
北京数码大方科技股份有限公司,"Beijing Digital Dafang Technology Co., Ltd.",CAXA,数码大方,普通会员单位,ordinary members,27,Industry,http://www.caxa.com/,n/a,Beijing,Beijing,Beijing,Medium,Diversified,Technical services,n/a,"Computer-aided design, product lifecycle, and manufacturing execution system software",No,No,No,,,,,
广州赛宝认证中心服务有限公司,"Guangzhou Saibao Certification Center Service Co., Ltd.",CEPREI Certification Body,赛宝认证中心,理事单位,board members,6,Industry,http://www.ceprei.org/zxjj/index_3429.aspx,n/a,"Guangzhou, Guangdong",Guangzhou,Guangdong,Medium,Diversified,Technical Service,n/a,"Certification, software training and technical services",No,No,No,,,,,
中国电力科学研究院,China Electric Power Research Institute,CEPRI,中国电科院,副理事长单位,vice chairs of the board,17,Industry,http://www.geari.com/,https://www.crunchbase.com/organization/china-electric-institute,Beijing,Beijing,Beijing,Medium,Diversified,"Electronics, Manufacturing",n/a,"Electronics, Manufacturing",Yes,No,No,,,,,
